blank0,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank1,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank2,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank3,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank4,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank5,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank6,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank7,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank8,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
blank9,2-5-16,3-5-30,4-5-71,5-5-65,6-5-88,7-5-25,8-5-25,9-5-25,5,5,20,20
