1911_BOS,1911,Boston (AL),Huntington Avenue Baseball Grounds,Boston,MA,4,4,19,19,0
1911_CHW,1911,Chicago (AL),White Sox Park,Chicago,IL,1,6,3,9,0
1911_CLE,1911,Cleveland,League Park,Cleveland,OH,13,17,1,1,0
1911_DET,1911,Detroit,Bennett Park,Detroit,MI,12,12,9,19,0
1911_NYY,1911,New York (AL),Hilltop Park,New York,NY,17,12,1,19,0
1911_PHA,1911,Philadelphia (AL),Shibe Park,Philadelphia,PA,3,3,4,1,0
1911_SLB,1911,St. Louis (AL),Sportsman's Park,St. Louis,MO,11,6,2,2,0
1911_WSN,1911,Washington,Griffith Stadium,Washington,DC,5,5,19,5,0
1911_BSN,1911,Boston (NL),South End Grounds,Boston,MA,3,9,17,19,0
1911_BRO,1911,Brooklyn,Washington Park,Brooklyn,NY,4,1,2,2,0
1911_CHC,1911,Chicago (NL),West Side Grounds,Chicago,IL,7,7,7,2,0
1911_CIN,1911,Cincinnati,Palace of the Fans,Cincinnati,OH,15,7,1,1,0
1911_NYG,1911,New York (NL),Polo Grounds,New York,NY,2,8,7,16,0
1911_PHI,1911,Philadelphia (NL),Baker Bowl,Philadelphia,PA,19,6,19,19,0
1911_PIT,1911,Pittsburgh,Forbes Field,Pittsburgh,PA,9,13,2,2,0
1911_STL,1911,St. Louis (NL),Robinson Field,St. Louis,MO,6,15,2,1,0
